title,price,area_sqft,price_per_sqft,location,bedrooms,bathrooms,property_type,undervalued,avg_price_per_sqft_location,url
"Authentic Live/Work LOFT- Reno Opportunity for this wonderful PH LOFT$1,995,000SoHo",1995000,,,Soho,,,Other,False,22.0,https://newyork.craigslist.org/mnh/reb/d/new-york-authentic-live-work-loft-reno/7909906597.html
"Stunning LOFT PH to OWN or to RENT! It's  your call.$10,999Chelsea",10999,,,Chelsea,,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-stunning-loft-ph-to-own-or-to/7906249417.html
"Direct Park Views and ON CPW too! Unique, Tudor-Style Co-op$1,395,000Upper West Side",1395000,,,Upper West Side,,,Condo/Co-op,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-direct-park-views-and-on-cpw/7906260751.html
"Impeccably Renovated 3BR Move in Ready!! The Best of Carnegie Hill$1,650,000Upper East Side",1650000,,,Upper East Side,3.0,,Other,False,775.0,https://newyork.craigslist.org/mnh/reb/d/new-york-impeccably-renovated-3br-move/7909024764.html
"Bring that Architect and Create your Dream! Classic, Prewar 2BR Gem$975,000Greenwich Village",975000,,,Greenwich Village,2.0,,Other,False,797.72,https://newyork.craigslist.org/mnh/reb/d/new-york-bring-that-architect-and/7907119008.html
"GRAND and CLASSIC on Park Avenue! Create your DREAM 4BR$2,995,000Upper East Side",2995000,,,Upper East Side,4.0,,Other,False,775.0,https://newyork.craigslist.org/mnh/reb/d/new-york-grand-and-classic-on-park/7909023502.html
"Breathtaking DUPLEX in Classic TH just off FIFTH AVENUE! One of a Kind$38,000Upper East Side",38000,,,Upper East Side,,,Multi-Family,False,775.0,https://newyork.craigslist.org/mnh/reo/d/new-york-breathtaking-duplex-in-classic/7907133093.html
"Extraordinary CLASSIC 6 Elegance right on Central Park West!  WOW$3,250,000Upper West Side",3250000,,,Upper West Side,,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-extraordinary-classic-elegance/7906632977.html
"NOW redone, OWN THIS OPEN PREWAR LOFT in a LOFT BLDG$1,650,000TriBeCa",1650000,,,Tribeca,,,Other,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-now-redone-own-this-open/7907158602.html
"One of a Kind LOFT w/15' Ceilings!!! Gothic Charm and Character$895,000Clinton Hill",895000,,,Clinton Hill,,,Other,False,,https://newyork.craigslist.org/brk/reb/d/brooklyn-one-of-kind-loft-15-ceilings/7907535282.html
"One of the coolest lofts in Flatiron! 11' Barrel Ceilinged 1BR Beauty$1,515,000Flatiron",1515000,,,Flatiron,1.0,,Other,False,,https://newyork.craigslist.org/mnh/reb/d/new-york-one-of-the-coolest-lofts-in/7908408480.html
"Mixed Use Bldg for SALE! Keep as is or CONVERT TO RESIDENTIAL-INVEST!!$4,600,000TriBeCa",4600000,,,Tribeca,,,Other,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-mixed-use-bldg-for-sale-keep/7907158447.html
"PREWAR Majesty! PH unlike any other, with massive Outdoors too$17,999TriBeCa",17999,,,Tribeca,,,Other,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-prewar-majesty-ph-unlike-any/7908431080.html
